Date,Price,Real_Value,BS_30d,BS_60d,BS_90d,Ticker
2024-10-01,116.95994567871094,132.71456909179688,124.62753943212539,125.9522846558117,125.56471169063272,NVDA
2024-10-02,118.80931091308594,135.35365295410156,126.59849585925963,127.92706895461123,127.32170486377211,NVDA
2024-10-03,122.80794525146484,135.35365295410156,130.97665002343433,132.2513336490982,131.62060571783917,NVDA
2024-10-04,124.87723541259766,136.00343322753906,133.06496633875497,134.34703764096113,133.70153832884492,NVDA
2024-10-07,127.67627716064453,145.5601348876953,135.87732000636163,137.3721693282073,136.71181245574036,NVDA
2024-10-08,132.84449768066406,148.8290557861328,141.49438349419637,143.00794029388248,142.24039812748902,NVDA
2024-10-09,132.60458374023438,147.5794677734375,141.21987277606945,142.7357367356124,141.98054251178556,NVDA
2024-10-10,134.76385498046875,147.5794677734375,143.48108695689217,144.8224071510026,144.22395212463076,NVDA
2024-10-11,134.7538604736328,145.21026611328125,142.86728989092876,144.78250733666025,144.20920925717067,NVDA
2024-10-14,138.0227508544922,146.21990966796875,146.36822838299958,148.27636826722718,147.6376741361031,NVDA
2024-10-15,131.55496215820312,146.70974731445312,138.37251847185428,141.3527710141274,140.79894176689686,NVDA
2024-10-16,135.6735382080078,141.93138122558594,142.69977504974332,145.81856951914278,145.23886150455252,NVDA
2024-10-17,136.8831329345703,141.93138122558594,143.9718653796078,146.8414997616763,146.53445985112384,NVDA
2024-10-18,137.9527587890625,140.1020050048828,144.68369754812983,147.96712590920475,147.67831143633924,NVDA
2024-10-21,143.6608123779297,145.84005737304688,150.72529611252452,154.16492217774004,153.8045597691174,NVDA
2024-10-22,143.54086303710938,146.6197967529297,150.61346401582136,154.02107654561507,153.63377913451973,NVDA
2024-10-23,139.51222229003906,141.90139770507812,145.74230917403565,149.42685807182596,149.343916648015,NVDA
2024-10-24,140.3619384765625,141.90139770507812,146.597180321404,149.54138888174109,150.25245678655313,NVDA
2024-10-25,141.49154663085938,141.49154663085938,147.77139771543978,150.41326805707706,151.4201559015503,NVDA
2024-10-28,140.47189331054688,140.47189331054688,146.61565344444628,149.30617487725632,150.28036778123533,NVDA
2024-10-29,141.20164489746094,141.20164489746094,147.32444963220894,149.75426842329773,151.018248544973,NVDA
2024-10-30,139.29229736328125,139.29229736328125,145.28105385848676,147.68576634552807,148.79409558106562,NVDA
2024-10-31,132.71456909179688,138.2026824951172,138.734379153255,140.68227238136606,141.7064845462813,NVDA
2024-11-01,135.35365295410156,138.58253479003906,141.4590601086796,143.29806818634341,144.53789241851783,NVDA
2024-11-04,136.00343322753906,145.09033203125,142.1366245412213,143.98328401528846,145.2169590523372,NVDA
2024-11-05,139.8621063232422,145.0203399658203,146.05508132728818,148.01962663974456,149.36401597110648,NVDA
2024-11-06,145.5601348876953,145.5601348876953,152.18462957032693,153.88950271033232,155.50765933286732,NVDA
2024-11-07,148.8290557861328,148.8290557861328,155.65363598935846,157.35857249876375,159.007393439081,NVDA
