Ticker,Maturity,Analysis_Date,Expiry_Date,S0,ST,Premium,Actual_PnL,Delta_PnL,Gamma_PnL,Theta_PnL,PnL_Diff
JPM,30,2024-12-27,2025-01-27,236.17051696777344,261.6834716796875,5.29333222118035,20.219622490733713,13.74776343100969,10.619626464352917,-2.866797681154889,-1.280969723474005
JPM,30,2025-01-27,2025-02-26,261.6834716796875,254.73411560058594,6.140942539748295,-6.140942539748295,-3.738647523367925,0.6764007608625839,-3.3131010463359964,0.23440526909304182
JPM,30,2025-02-26,2025-03-28,254.73411560058594,239.04393005371094,6.691017535934975,-6.691017535934975,-8.414063421915428,3.135607487300307,-3.578608580748486,2.166046979428632
JPM,30,2025-03-28,2025-04-28,239.04393005371094,240.88275146484375,8.611384806169582,-6.772563395036769,0.9824267951979373,0.03277188816072631,-4.515493427105637,-3.272268651289796
JPM,30,2025-04-28,2025-05-27,240.88275146484375,262.7406921386719,13.13165708834974,8.726283585478384,11.748399281189668,2.9769833232777723,-6.759601833066359,0.7605028140773022
JPM,30,2025-05-27,2025-06-26,262.7406921386719,285.9752502441406,6.430868374869448,16.803689730599302,12.483340337300602,7.194542939548852,-3.457861880329304,0.5836683340791531
JPM,30,2025-06-26,2025-07-25,285.9752502441406,297.1752014160156,5.417386639389008,5.782564532485992,6.080916393953547,2.033364265179351,-2.980437717477649,0.6487215908307427
JPM,30,2025-07-25,2025-08-25,297.1752014160156,293.47320556640625,6.728794078255504,-6.728794078255504,-1.9940908176436394,0.17573272290384218,-3.6410677461042553,-1.2693682374114514
JPM,30,2025-08-25,2025-09-24,293.47320556640625,311.90362548828125,5.903517588825423,12.526902333049577,9.976592251486066,5.020998013803121,-3.228704518398628,0.7580165861590178
JPM,30,2025-09-24,2025-10-24,311.90362548828125,300.44000244140625,6.23755680793451,-6.23755680793451,-6.207113809493359,1.8395851943301056,-3.4133148412331904,1.543286648461934
JPM,30,2025-10-24,2025-11-24,300.44000244140625,298.0,6.7977233124331065,-6.7977233124331065,-1.3143494318011633,0.07557248268082876,-3.6785954225034807,-1.8803509408092918
JPM,30,2025-11-24,2025-12-23,298.0,325.92999267578125,7.684551429742925,20.245441246038325,14.984602207047777,8.663677644947386,-4.115562865641555,0.7127242596847161
JPM,60,2024-12-27,2025-02-26,236.17051696777344,254.73411560058594,7.743834966338639,10.819763666473861,10.300221774880884,3.956678796083736,-4.312143470165406,0.8750065656746475
JPM,60,2025-02-26,2025-04-28,254.73411560058594,240.88275146484375,9.734618068398845,-9.734618068398845,-7.63504847706944,1.7208242762794659,-5.329931745917963,1.509537878309093
JPM,60,2025-04-28,2025-06-26,240.88275146484375,285.9752502441406,18.790645696076098,26.301853083220777,24.933408861404768,8.919250138536043,-9.757703616607811,2.206897699887776
JPM,60,2025-06-26,2025-08-25,285.9752502441406,293.47320556640625,7.980989651069251,-0.48303432880362607,4.2034353228297086,0.6406605899014434,-4.538161696624298,-0.78896854491048
JPM,60,2025-08-25,2025-10-24,293.47320556640625,300.44000244140625,8.674150786624864,-1.707353911624864,3.8896905775084605,0.5045846835757917,-4.893691315223009,-1.2079378574861073
JPM,60,2025-10-24,2025-12-23,300.44000244140625,325.92999267578125,9.941130022648196,15.548860211726804,14.136700276226124,5.804450838225854,-5.529738652814142,1.1374477500889704
JPM,90,2024-12-27,2025-03-28,236.17051696777344,239.04393005371094,9.726420397963153,-6.853007312025653,1.629469206176129,0.07703546096662939,-5.522595345268456,-3.036916633899955
JPM,90,2025-03-28,2025-06-26,239.04393005371094,285.9752502441406,15.435363113785982,31.495957076643705,26.2445192593228,12.234174278127872,-8.31803479328298,1.335298332476011
JPM,90,2025-06-26,2025-09-24,285.9752502441406,311.90362548828125,10.07686991964934,15.851505324491285,14.885212109570384,6.219015970383032,-5.863563091942201,0.6108403364800701
JPM,90,2025-09-24,2025-12-23,311.90362548828125,325.92999267578125,11.553980729018917,2.4723864584810826,8.016849252625997,1.5728886542890148,-6.667444588017737,-0.449906860416192
PLTR,30,2024-12-27,2025-01-27,79.08000183105469,75.44000244140625,5.775046187525646,-5.775046187525646,-1.9796257550959377,0.1856232268614498,-2.943541538391317,-1.0375021208998412
PLTR,30,2025-01-27,2025-02-26,75.44000244140625,89.30999755859375,5.108661090478279,8.761334026709221,7.515613175250363,3.0552614582559574,-2.610090304985205,0.8005496981881048
PLTR,30,2025-02-26,2025-03-28,89.30999755859375,85.8499984741211,9.786368542812916,-9.786368542812916,-1.9353273099983466,0.09744625548919308,-4.928985232735359,-3.019502255568403
PLTR,30,2025-03-28,2025-04-28,85.8499984741211,114.6500015258789,8.820339189958965,19.979663861798848,16.021211329312372,7.510833694533192,-4.450791258779295,0.8984100967325794
PLTR,30,2025-04-28,2025-05-27,114.6500015258789,123.38999938964844,11.505623292792592,-2.7656254290230606,4.85278473383276,0.5307736340126258,-5.8097518148711425,-2.3394319819973033
PLTR,30,2025-05-27,2025-06-26,123.38999938964844,144.25,10.141227481307013,10.71877312904455,11.420779923006634,3.4564681282306977,-5.150581889411145,0.992106967218362
PLTR,30,2025-06-26,2025-07-25,144.25,158.8000030517578,7.891619314072074,6.658383737685739,7.821278152490592,2.19469618027464,-4.06172506931678,0.7041344742372866
PLTR,30,2025-07-25,2025-08-25,158.8000030517578,157.1699981689453,8.456326373475875,-8.456326373475875,-0.8755256248888013,0.025733267669650183,-4.356786488126393,-3.2497475281303307
PLTR,30,2025-08-25,2025-09-24,157.1699981689453,179.55999755859375,8.830166170923135,13.559833218725302,12.045397296742742,4.639631880470515,-4.540339495272573,1.415143536784619
