Date,Ticker,Maturity_Days,Price,Vol_Window,Volatility,BS_Price,Delta,Gamma,Vega,Theta
2024-12-27,JPM,30,236.17051696777344,30d,0.1797157650012721,5.293331966988347,0.5388542256581189,0.032630050299197896,26.883367559019664,-0.09555991850894259
2024-12-27,JPM,30,236.17051696777344,60d,0.3060727226117684,8.692868762631988,0.5342765684232026,0.019179559297630384,26.911815786551244,-0.15176763964539353
2025-01-27,JPM,30,261.6834411621094,30d,0.1889728751768769,6.14093398659827,0.537984762762295,0.028012095974169645,29.793803632160852,-0.11043655923656326
2025-01-27,JPM,30,261.6834411621094,60d,0.2929779541700024,9.241464460987373,0.5342792927365194,0.018083291808823093,29.819015941660336,-0.16170298076541423
2025-02-26,JPM,30,254.7340850830078,30d,0.213557033058627,6.6910132349170794,0.5362628441635331,0.025473922676829824,29.01430791193323,-0.11928688056034908
2025-02-26,JPM,30,254.7340850830078,60d,0.19605373997408768,6.183231055860432,0.5374086111425024,0.027740785071127008,29.00657086205034,-0.11089608710031242
2025-02-26,JPM,30,254.7340850830078,90d,0.26552040466938637,8.199047113840379,0.5345247988419312,0.020496539864315527,29.025583806772914,-0.1442242950045179
2025-03-28,JPM,30,239.04393005371094,30d,0.2991984753853327,8.61138269855546,0.5342698259295326,0.01938440469075627,27.239283209027228,-0.15051641270313096
2025-03-28,JPM,30,239.04393005371094,60d,0.24724170264155299,7.1961809759236814,0.5349110866140391,0.023454667778662893,27.235468002483064,-0.12710631290419275
2025-03-28,JPM,30,239.04393005371094,90d,0.22628876640249718,6.625560369656341,0.5356375180757159,0.025622277337695277,27.231060403657143,-0.11767039859797102
2025-04-28,JPM,30,240.8827667236328,30d,0.4615078982002882,13.131659695920888,0.5374888468692428,0.012462002184315996,27.428800308567304,-0.22532010470876918
2025-04-28,JPM,30,240.8827667236328,60d,0.3844952625017058,11.018732266127174,0.5353275228615972,0.014965522799554695,27.442440909280226,-0.19039775822241922
2025-04-28,JPM,30,240.8827667236328,90d,0.3327603583182391,9.598847321162438,0.5344534610701669,0.017295572673255242,27.44772674849845,-0.16691396919840976
2025-05-27,JPM,30,262.7406921386719,30d,0.19783485481206092,6.430866393375624,0.5372747092709865,0.02665413022761073,29.91922869534602,-0.11526202994189243
2025-05-27,JPM,30,262.7406921386719,60d,0.37640490888223554,11.77641221936571,0.5351532580825403,0.014015959818345998,29.933754462666435,-0.20367003480543946
2025-05-27,JPM,30,262.7406921386719,90d,0.3297358577765834,10.379306727854157,0.534422486771149,0.016002272741719482,29.9385605581561,-0.1805620227944231
2025-06-26,JPM,30,285.9752197265625,30d,0.14922106974441202,5.417400237681534,0.5429412553859404,0.03241990294856649,32.518241678262285,-0.09934814683943101
2025-06-26,JPM,30,285.9752197265625,60d,0.33885189959200634,11.594216196412162,0.5345235030000517,0.014306299373836916,32.58535287533816,-0.2014432002334216
2025-06-26,JPM,30,285.9752197265625,90d,0.3292684261789766,11.28193160041306,0.5344179313862288,0.01472302757812742,32.586101685086376,-0.19627740718706763
2025-07-25,JPM,30,297.1752014160156,30d,0.18173072845439728,6.728803823830219,0.5386528764304329,0.02564543638575701,33.829219862998315,-0.12136908576684093
2025-07-25,JPM,30,297.1752014160156,60d,0.17049291394581367,6.348692649969337,0.5398710312148822,0.02732755460336092,33.8189894273338,-0.1150954010139075
2025-07-25,JPM,30,297.1752014160156,90d,0.2980274868631975,10.665865574479056,0.5342704474173856,0.01565383024206693,33.86339232134984,-0.18646334667986095
2025-08-25,JPM,30,293.47320556640625,30d,0.15952950081083805,5.903517588825423,0.5413111743398143,0.02956307359303467,33.38534685195125,-0.10762348394662094
2025-08-25,JPM,30,293.47320556640625,60d,0.1695725730236456,6.238868344470092,0.5399816840022497,0.02782168745876971,33.39676337445038,-0.11315449251429247
2025-08-25,JPM,30,293.47320556640625,90d,0.17836183587312188,6.532438568779071,0.5389935248465966,0.026457226769218686,33.405006110392364,-0.11799926440352086
2025-09-24,JPM,30,311.90362548828125,30d,0.15849493359853747,6.23755680793451,0.541461786043761,0.027996652538874768,35.48058139781185,-0.11377716137443968
2025-09-24,JPM,30,311.90362548828125,60d,0.17430777383872,6.7987592847562155,0.539430695904468,0.025470088243224377,35.49902638805732,-0.1230342665894949
2025-09-24,JPM,30,311.90362548828125,90d,0.16627264849265558,6.513553868656118,0.5403932433477086,0.026694442563759545,35.490401045087424,-0.11832855448837687
2025-10-24,JPM,30,300.44000244140625,30d,0.18158441830024405,6.7977233124331065,0.5386672609407974,0.025387104087940305,34.20075131831699,-0.1226198474167827
2025-10-24,JPM,30,300.44000244140625,60d,0.18438681012354996,6.893570391146028,0.5383980013869276,0.025002899795568717,34.20299488316278,-0.12420235029233437
2025-10-24,JPM,30,300.44000244140625,90d,0.18189714009478442,6.80841867292466,0.538636559989439,0.025343648137920814,34.201007923744186,-0.12279642489929525
2025-11-24,JPM,30,298.0,30d,0.2093464550253137,7.684551429742925,0.5365057692994412,0.022212152007519206,33.940416420558535,-0.1371854288547185
2025-11-24,JPM,30,298.0,60d,0.1921910158258271,7.102366466229398,0.5377139757921301,0.02418800826950891,33.930800763798416,-0.12756641437281094
2025-11-24,JPM,30,298.0,90d,0.1804020328510018,6.7024066012644425,0.5387848573364261,0.025761983815081345,33.922015520774714,-0.12096182658390807
2024-12-27,JPM,60,236.17051696777344,30d,0.1797157650012721,7.743834608563148,0.554861263903623,0.022963414977857963,37.838367982854635,-0.07186905491136801
